ENSEMBL	chromosome_name	start_position	end_position
ENSG00000143367	1	151540305	151583583
ENSG00000116830	1	117060326	117107453
ENSG00000115363	2	75469302	75569722
ENSG00000115828	2	37342827	37373322
ENSG00000134046	18	54151606	54224669
ENSG00000180573	6	26124145	26139116
ENSG00000244187	9	136791344	136793317
ENSG00000101343	20	20034368	20056046
ENSG00000250312	4	124501	202303
ENSG00000141026	17	17476994	17493221
ENSG00000273373	1	110370154	110373003
ENSG00000152766	10	88819896	88851844
ENSG00000082497	1	210232796	210246631
ENSG00000173852	7	34927292	35038271
ENSG00000149328	11	134331874	134378341
ENSG00000084073	1	40258041	40294180
ENSG00000114331	3	195274745	195443044
ENSG00000279457	1	185217	195411
ENSG00000115844	2	172099438	172102900
ENSG00000182752	9	116153791	116402321
ENSG00000242247	22	42796502	42858106
ENSG00000133056	1	204422628	204494805
ENSG00000064489	19	19145569	19192158
ENSG00000238057	2	144517978	144521477
ENSG00000168872	16	70346861	70373383
ENSG00000204084	1	37860697	37947057
ENSG00000224699	1	110347116	110443817
ENSG00000203706	1	210231456	210234047
ENSG00000143127	1	145891208	145910111
ENSG00000150477	18	36829106	37232172
ENSG00000063244	19	55654146	55674716
ENSG00000204577	19	54216278	54223506
ENSG00000274904	16	30064306	30064825
ENSG00000111846	6	10492223	10629368
ENSG00000179241	11	35943981	36232136
ENSG00000253626	10	79512533	79516440
ENSG00000279058	10	46337224	46358714
ENSG00000149716	11	69653076	69675416
ENSG00000260997	7	44958999	44960909
ENSG00000258099	12	111599498	111600256
ENSG00000033627	17	42458844	42522582
ENSG00000272562	1	226045561	226061898
ENSG00000267096	19	55670632	55672069
ENSG00000271751	11	119065263	119065677
ENSG00000099785	19	8413270	8439017
ENSG00000173480	19	57900296	57916610
ENSG00000151657	10	7750962	7787993
ENSG00000160049	1	10456522	10472529
ENSG00000183421	21	41739369	41767089
ENSG00000133574	7	150567369	150573953
ENSG00000112679	6	291630	351355
ENSG00000136026	12	106237881	106304279
ENSG00000164038	4	103019868	103085829
ENSG00000164736	8	54457935	54460892
ENSG00000102125	X	154411524	154421726
ENSG00000234478	1	226148003	226155071
ENSG00000009844	6	142147162	142224685
ENSG00000156709	X	130124666	130165879
ENSG00000198736	16	1938229	1943199
ENSG00000141101	16	69741871	69754926
ENSG00000254521	19	51491227	51501800
ENSG00000108829	17	50375059	50397523
ENSG00000174498	15	65327127	65378002
ENSG00000070831	1	22052627	22101360
ENSG00000149948	12	65824460	65966291
ENSG00000241553	3	9792495	9807101
ENSG00000138646	4	88457119	88506163
ENSG00000197928	19	53235381	53254898
ENSG00000016082	5	51383448	51394730
ENSG00000206573	3	9349689	9398579
ENSG00000139405	12	113185526	113192368
ENSG00000159263	21	36699115	36749917
ENSG00000182827	1	226144679	226186741
ENSG00000173933	11	66638667	66668374
ENSG00000171307	10	97446170	97457370
ENSG00000262624	17	7436557	7437523
ENSG00000166439	11	74748849	74842413
ENSG00000197061	6	26103933	26104337
ENSG00000125864	20	17493905	17569220
ENSG00000128266	22	23070519	23125032
ENSG00000150681	1	192158462	192185815
ENSG00000247317	8	142981738	143018437
ENSG00000188641	1	97077743	97995000
ENSG00000087116	5	179110853	179345461
ENSG00000145916	5	178130996	178150568
ENSG00000277715	12	106250759	106252786
ENSG00000273002	1	155978799	155982986
ENSG00000100024	22	24494107	24528390
ENSG00000112175	6	55753653	55875590
ENSG00000095739	10	28677510	28682932
ENSG00000273375	3	197789700	197790369
ENSG00000108591	17	18087892	18107970
ENSG00000239998	19	54572920	54590287
ENSG00000171813	10	132397168	132417859
ENSG00000102409	X	103215108	103217246
ENSG00000214706	3	50287732	50292918
ENSG00000132254	11	6474683	6481479
ENSG00000178026	22	24585620	24593208
ENSG00000254485	3	9292588	9363303
ENSG00000187837	6	26055740	26056470
ENSG00000165732	10	68956135	68985068
ENSG00000136603	3	170357678	170396835
ENSG00000142330	2	240586734	240617705
ENSG00000165097	6	18155329	18223854
ENSG00000100348	22	36467046	36481640
ENSG00000272405	1	156641666	156644887
ENSG00000056998	X	2828822	2882820
ENSG00000164342	4	186069155	186088073
ENSG00000186297	15	26866911	26949208
ENSG00000229852	6	73263212	73301789
ENSG00000115204	2	27309492	27325680
ENSG00000251562	11	65497688	65506516
ENSG00000237125	4	173527270	173659696
ENSG00000119820	2	32277904	32316594
ENSG00000169085	8	66493520	66518524
ENSG00000120533	8	109334324	109345954
ENSG00000255571	15	89361579	89398487
ENSG00000100023	22	21666000	21700015
ENSG00000165752	10	132207492	132331847
ENSG00000115355	2	55287842	55419895
ENSG00000234779	9	16726814	16727524
ENSG00000155926	8	133036728	133102912
ENSG00000272305	3	52969119	53099453
ENSG00000232850	9	128128529	128130628
ENSG00000205213	11	27365961	27472790
ENSG00000141682	18	59899996	59904305
ENSG00000139180	12	4649095	4694317
ENSG00000135314	6	73241314	73310365
ENSG00000197467	10	69801880	69964275
ENSG00000175573	11	65916810	65919062
ENSG00000162688	1	99850361	99924023
ENSG00000117632	1	25884181	25906991
ENSG00000169241	1	155135344	155138857
ENSG00000107020	9	5357971	5437925
ENSG00000196581	1	4654609	4792534
ENSG00000172345	15	81309053	81324183
ENSG00000189043	7	10931943	10940153
ENSG00000185585	9	124777133	124814885
ENSG00000188112	6	42092233	42142620
ENSG00000270095	12	123971457	123971714
ENSG00000173068	9	16409503	16870843
ENSG00000214900	14	49927571	50105102
ENSG00000181374	17	34356480	34358610
ENSG00000110074	11	126269024	126278131
ENSG00000147687	8	124488485	124539458
ENSG00000157823	15	89830599	89894638
ENSG00000129946	19	416589	461033
ENSG00000169554	2	144364364	144521057
ENSG00000269997	12	123966077	123966629
ENSG00000115163	2	26764289	26801067
ENSG00000267724	18	47105946	47108062
ENSG00000250786	5	9546170	9550725
ENSG00000221883	3	48917782	48918823
ENSG00000277462	1	247034637	247078811
ENSG00000134049	18	47152834	47176364
ENSG00000166046	12	106301929	106347003
ENSG00000106536	7	38977909	39493095
ENSG00000102098	X	18239313	18354688
ENSG00000145824	5	135570679	135579279
ENSG00000028137	1	12166991	12209228
ENSG00000249242	4	82483170	82562357
ENSG00000167106	9	127940582	127980989
ENSG00000170464	5	139408588	139444491
ENSG00000253102	17	50396438	50397888
ENSG00000180596	6	26114873	26123926
ENSG00000135362	11	36296288	36465204
ENSG00000178343	4	42397488	42402487
ENSG00000260063	1	26692132	26694131
ENSG00000171916	17	18476737	18494945
ENSG00000049089	1	40300489	40317813
ENSG00000280734	13	99486962	99499306
ENSG00000198455	X	57592011	57597477
ENSG00000234705	9	128663129	128684493
ENSG00000254860	11	8964502	8977527
ENSG00000274422	22	22283928	22287220
ENSG00000206579	8	55102028	55542054
ENSG00000100342	22	36253071	36267530
ENSG00000197472	1	246945547	247008093
ENSG00000273189	19	49474586	49487637
ENSG00000159069	9	136940435	136944738
ENSG00000122565	7	26201162	26213607
ENSG00000164053	3	48446710	48467645
ENSG00000129566	14	20365667	20413501
ENSG00000280710	13	99498737	99501250
ENSG00000154920	17	50373220	50381483
ENSG00000196220	3	8980591	9363053
ENSG00000203441	13	99499727	99501052
ENSG00000152382	1	166856510	166876264
ENSG00000165359	X	135520659	135582510
ENSG00000100150	22	31753867	31908033
ENSG00000146872	17	62458658	62615481
ENSG00000116035	2	70900576	70965373
ENSG00000178467	3	48989889	49007153
ENSG00000054392	1	210328252	210676296
ENSG00000011083	5	150190062	150222788
ENSG00000132185	1	161706972	161714352
ENSG00000006607	2	241356285	241494841
ENSG00000179889	16	14974591	15139339
ENSG00000254999	3	10115675	10127190
ENSG00000172057	17	39921041	39927601
ENSG00000204291	9	98943179	99070792
ENSG00000108175	10	79068966	79316519
ENSG00000233834	7	20217536	20221702
ENSG00000186818	19	54643889	54670359
ENSG00000107186	9	13105706	13279692
ENSG00000262136	16	69726768	69742563
ENSG00000196664	X	12867072	12890361
ENSG00000132326	2	238244044	238290102
ENSG00000229953	1	156646507	156661424
ENSG00000165633	10	49014236	49115522
ENSG00000267927	19	52171158	52177002
ENSG00000188312	9	92325953	92620529
ENSG00000131386	3	16174680	16231992
ENSG00000262877	17	81388126	81390319
ENSG00000185989	13	113977783	114132623
ENSG00000133466	22	37180166	37199385
ENSG00000272853	10	14877688	14878686
ENSG00000228830	1	234607008	234609483
ENSG00000175768	9	37582646	37592604
ENSG00000230641	13	27172259	27182998
ENSG00000262165	17	4801159	4807013
ENSG00000168264	1	234604269	234610178
ENSG00000166135	10	100529072	100559998
ENSG00000105245	19	40665905	40690972
ENSG00000253797	13	52024691	52033600
ENSG00000237438	22	17036570	17060825
ENSG00000006015	19	18588685	18592337
ENSG00000175175	17	58755854	58985179
ENSG00000117395	1	43164175	43270936
ENSG00000138073	2	27130756	27134666
ENSG00000154723	21	25716503	25735673
ENSG00000117242	1	20642657	20652193
ENSG00000257550	12	53513891	53517608
ENSG00000204611	19	52113091	52139938
ENSG00000073910	13	31846713	32299125
ENSG00000105605	19	53909278	53943950
ENSG00000082781	3	124761948	124901418
ENSG00000256139	12	109111218	109125594
ENSG00000139574	12	53506688	53507484
ENSG00000269072	19	51152923	51181966
ENSG00000229807	X	73820649	73852723
ENSG00000268350	X	52926402	52995472
ENSG00000125538	2	112829751	112836816
ENSG00000224738	17	59106598	59118453
ENSG00000182050	12	85955666	86838904
ENSG00000187801	1	40450102	40463718
ENSG00000204623	6	29976042	30061640
ENSG00000176624	18	51174550	51218333
ENSG00000144451	2	213284389	214410501
ENSG00000140451	15	64815632	64825668
ENSG00000169621	2	68467572	68655862
ENSG00000165280	9	35053928	35072668
ENSG00000184205	X	53082367	53088540
ENSG00000164031	4	99896248	99946618
ENSG00000102760	13	41457550	41470871
ENSG00000182628	17	59109857	59155260
ENSG00000042088	14	89954939	90044764
ENSG00000178988	4	6707701	6709865
ENSG00000152234	18	46080248	46104334
ENSG00000160145	3	124033369	124726325
ENSG00000163935	3	52903572	53046750
ENSG00000011600	19	35904401	35908295
ENSG00000072832	4	5748084	5893086
ENSG00000006007	16	19501693	19522123
ENSG00000142192	21	25880550	26171128
ENSG00000150627	4	176065841	176182818
ENSG00000162493	1	13583465	13617957
ENSG00000178175	5	72439903	72507410
ENSG00000230212	21	36069642	36126640
ENSG00000258388	6	32153845	32171978
ENSG00000259448	15	31215622	31224445
ENSG00000107738	10	71747556	71773520
ENSG00000261490	4	10068089	10073019
ENSG00000172663	11	67461710	67469272
ENSG00000144485	2	238238267	238240662
ENSG00000157870	1	2586491	2591469
ENSG00000073614	12	280057	389320
ENSG00000188191	7	549197	727650
ENSG00000244038	1	20651767	20661544
ENSG00000139428	12	109553715	109573580
ENSG00000109220	4	54009789	54064605
ENSG00000080819	3	98579446	98593648
ENSG00000159231	21	36135079	36146562
ENSG00000099953	22	23768226	23784316
ENSG00000109929	11	121292681	121313410
ENSG00000066136	1	40691648	40771603
ENSG00000136868	9	113221544	113264492
ENSG00000132872	18	43267892	43277535
ENSG00000109332	4	102794383	102868896
ENSG00000256660	12	10010627	10018796
ENSG00000074935	6	112070663	112087529
ENSG00000118162	19	47475150	47484265
ENSG00000204304	6	32184733	32190202
ENSG00000169203	16	29484690	29505999
ENSG00000250644	11	1734821	1763954
ENSG00000168010	11	72814406	72843674
ENSG00000163710	3	142815922	142889206
ENSG00000183943	X	3604340	3713649
ENSG00000244694	6	47856673	48111197
ENSG00000147905	9	37120574	37358149
ENSG00000177565	3	177019340	177228000
ENSG00000243449	4	2041995	2043964
ENSG00000273210	21	37365477	37365932
ENSG00000245888	16	27268205	27290492
ENSG00000059758	12	96278261	96400480
ENSG00000255142	11	781645	782105
ENSG00000175832	17	43527844	43579620
ENSG00000255284	11	777574	784298
ENSG00000112996	5	44808947	44820428
ENSG00000230479	21	36430360	36481070
ENSG00000126970	X	64915802	65034713
ENSG00000138246	3	132417502	132539032
ENSG00000233818	21	36445731	36532408
ENSG00000271228	2	32013061	32013368
ENSG00000196267	19	52153864	52171643
ENSG00000105926	7	24573268	24694193
ENSG00000072954	19	16661139	16690023
ENSG00000233093	X	136639539	136642429
ENSG00000214530	11	72754729	72794047
ENSG00000118971	12	4269771	4305353
ENSG00000142731	4	127880893	127899224
ENSG00000107745	10	72367340	72626131
ENSG00000196363	9	134135365	134159968
ENSG00000264707	18	6256747	6260934
ENSG00000182791	11	66590176	66593063
ENSG00000266074	17	81395457	81466332
ENSG00000126759	X	47623172	47630305
ENSG00000177853	10	96129715	96205288
ENSG00000227630	1	234724042	234736720
ENSG00000280758	9	128630328	128631685
ENSG00000238005	1	234957342	234970062
ENSG00000172935	11	69004395	69013382
ENSG00000135899	2	230165186	230225729
ENSG00000129657	17	77088749	77217101
ENSG00000170390	4	150078445	150257438
ENSG00000165283	9	35099776	35103195
ENSG00000123562	X	103675496	103688158
ENSG00000078061	X	47561205	47571908
ENSG00000259469	15	48729080	48729844
ENSG00000243989	3	51983340	51989197
ENSG00000006715	7	38722974	38932394
ENSG00000268975	19	40771648	40796943
ENSG00000151789	3	21412218	22373321
ENSG00000060709	12	130396133	130768228
ENSG00000008294	17	50962174	51120868
ENSG00000167065	22	30652051	30667887
ENSG00000145912	5	178149463	178153894
ENSG00000083720	5	41730065	41870425
ENSG00000015475	22	17734138	17774770
ENSG00000101152	20	63895126	63936031
ENSG00000170684	19	45071500	45076478
ENSG00000197721	1	207645113	207738416
ENSG00000103544	16	19555240	19706793
ENSG00000114019	3	134355347	134375479
ENSG00000173992	11	66593153	66606019
ENSG00000105499	19	48047843	48110817
ENSG00000162961	2	31867809	32039805
ENSG00000204271	X	56818298	56995827
ENSG00000128805	10	48446036	48656265
ENSG00000109625	4	8592660	8619759
ENSG00000188493	19	40740856	40751553
ENSG00000183793	16	15363628	15381047
ENSG00000272186	11	119067374	119067698
ENSG00000231426	6	139677639	139860476
ENSG00000035928	4	39287456	39366375
ENSG00000127080	9	92613183	92670131
ENSG00000183486	21	41361999	41409393
ENSG00000259727	15	62895812	62899543
ENSG00000008128	1	1702379	1724357
ENSG00000130935	17	67717931	67744531
ENSG00000204713	6	28903002	28923988
ENSG00000198934	X	76427710	76431342
ENSG00000176386	9	113255835	113275572
ENSG00000023572	1	193090866	193106114
ENSG00000170653	12	53507856	53626410
ENSG00000160951	19	14472466	14475354
ENSG00000136315	14	20919290	20920303
ENSG00000164114	4	155342658	155376970
ENSG00000178935	19	57803841	57814913
ENSG00000001461	1	24415802	24472976
ENSG00000149925	16	30064164	30070457
ENSG00000255529	15	57706695	57782762
ENSG00000163395	1	201190824	201228952
ENSG00000258082	1	234978814	234980804
ENSG00000102606	13	111114559	111305737
ENSG00000018236	12	40692439	41072415
ENSG00000159784	7	143353400	143362770
ENSG00000180901	17	75032575	75065889
ENSG00000136536	2	159712457	159771027
ENSG00000115756	2	10302889	10427617
ENSG00000175600	7	40135005	40860763
ENSG00000121210	4	153466346	153636711
ENSG00000173898	11	66682497	66744670
ENSG00000169247	5	148923639	149063163
ENSG00000141524	17	78107397	78132407
ENSG00000107581	10	119033670	119080823
ENSG00000223482	10	87189773	87342612
ENSG00000181381	4	168356735	168537786
ENSG00000269476	19	57876765	57916591
ENSG00000229325	3	195280723	195282741
ENSG00000160695	11	119067818	119081972
ENSG00000177699	15	78978889	78985926
ENSG00000090554	19	49474207	49486231
ENSG00000157653	9	113410054	113429690
ENSG00000189114	19	45178784	45216933
ENSG00000112294	6	24494867	24537207
ENSG00000198466	19	57849859	57865117
ENSG00000272933	10	102642792	102644140
ENSG00000124574	6	43427366	43450427
ENSG00000232524	7	123456629	123459856
ENSG00000058866	3	186105668	186362234
ENSG00000152527	2	43637260	43767987
ENSG00000253831	1	157092043	157112412
ENSG00000169122	8	57994523	58204279
ENSG00000229780	1	154553609	154555017
ENSG00000142661	1	24056035	24112135
ENSG00000196670	5	180847611	180861285
ENSG00000116580	1	155749659	155859400
ENSG00000135093	12	109023089	109088023
ENSG00000253559	2	189762704	189765556
ENSG00000247049	5	181224646	181230685
ENSG00000119335	9	128683424	128696400
ENSG00000114021	3	100334739	100361635
ENSG00000112599	6	42183284	42194956
ENSG00000079999	19	10486125	10503558
ENSG00000164167	4	146175703	146200000
ENSG00000232774	14	61570405	61658696
ENSG00000188295	1	247099962	247104372
ENSG00000255921	12	24949163	24960158
ENSG00000273265	2	96812239	96813657
ENSG00000154917	3	133824235	133895882
ENSG00000107242	9	68705240	69009176
ENSG00000169314	22	23762990	23765863
ENSG00000134061	5	67179613	67196799
ENSG00000105258	19	36113709	36115213
ENSG00000023608	14	61762420	61796428
ENSG00000227467	11	72570660	72573229
ENSG00000113196	5	154474972	154478227
ENSG00000281162	2	101962053	101987167
ENSG00000178996	5	54517759	54546586
ENSG00000260238	1	156212982	156243332
ENSG00000160310	21	46635595	46665124
ENSG00000100036	22	30635781	30669016
ENSG00000146063	5	181222499	181235808
ENSG00000141540	17	74213571	74262020
ENSG00000178567	3	36985043	36993131
ENSG00000275645	15	75346744	75347161
ENSG00000276744	15	75452964	75453947
ENSG00000117036	1	157121191	157138474
ENSG00000213341	10	100188300	100229596
ENSG00000173726	1	235109341	235128837
ENSG00000198105	10	37776526	37858106
ENSG00000151474	10	13643706	14462142
ENSG00000106780	9	120600811	120714470
ENSG00000180209	16	30370934	30377991
ENSG00000136908	9	127935099	127937854
ENSG00000203950	X	135050932	135052196
ENSG00000163421	3	71771655	71785206
ENSG00000267379	19	14402717	14408723
ENSG00000160714	1	154548577	154559028
ENSG00000188846	3	40457292	40468587
ENSG00000174749	4	112145454	112195256
ENSG00000175984	1	114582848	114670422
ENSG00000145337	4	88520998	88523776
ENSG00000167107	17	50426158	50474845
ENSG00000101868	X	24693873	24996986
ENSG00000111801	6	26440472	26453415
ENSG00000231249	3	4490317	4493201
ENSG00000250548	14	61556273	61570653
ENSG00000267454	19	56393656	56399172
ENSG00000189050	17	59952240	59964761
ENSG00000268401	19	46027648	46031667
ENSG00000173482	18	7566782	8406861
ENSG00000167193	17	1420689	1463162
ENSG00000179846	19	45149744	45160982
ENSG00000099331	19	17075777	17214537
ENSG00000026652	6	161129967	161274061
ENSG00000110079	11	60185657	60318080
ENSG00000138796	4	107989714	108035241
ENSG00000167178	15	74100311	74138540
ENSG00000276814	12	48039784	48040761
ENSG00000164920	8	98944403	98952104
ENSG00000103264	16	87326987	87392142
ENSG00000106443	7	10973336	11169623
ENSG00000149557	11	125442881	125592568
ENSG00000060140	12	10618923	10674318
ENSG00000269386	19	8374372	8390685
ENSG00000136875	9	113275642	113294009
ENSG00000153048	16	8852942	8869012
ENSG00000079246	2	216107464	216206303
ENSG00000143156	1	169132531	169367948
ENSG00000107372	9	72351413	72365235
ENSG00000166136	10	100523740	100530000
ENSG00000269534	19	48118432	48127706
ENSG00000153006	5	64718148	64768691
ENSG00000103995	15	48712928	48811146
ENSG00000223547	19	12064731	12081565
ENSG00000164136	4	141636583	141733987
ENSG00000171291	19	11848726	11883750
ENSG00000229664	10	6025978	6036427
ENSG00000167641	19	38251237	38256532
ENSG00000161547	17	76734115	76737333
ENSG00000167775	19	8302127	8308358
ENSG00000135519	12	49539030	49558337
ENSG00000114942	2	206159585	206162928
ENSG00000253710	13	52012391	52079232
ENSG00000262691	16	67261108	67263784
ENSG00000100154	22	27978014	28679840
ENSG00000182600	2	232857270	232878708
ENSG00000167863	17	75038863	75046985
ENSG00000204710	11	65170233	65173374
ENSG00000135547	6	125747664	125761269
ENSG00000083799	16	50742050	50801935
ENSG00000260136	16	23452758	23457606
ENSG00000169249	X	15790156	15830694
ENSG00000137752	11	105025397	105035250
ENSG00000183496	15	82041778	82046119
ENSG00000275765	5	151769783	151771508
ENSG00000196814	9	126326829	126507041
ENSG00000114805	3	155375580	155745071
ENSG00000168280	2	148875227	149026759
ENSG00000233338	X	12902817	12908333
ENSG00000123146	19	14380501	14408725
ENSG00000148229	9	113407235	113410675
ENSG00000101916	X	12906620	12923169
ENSG00000162385	1	53226900	53238518
ENSG00000179115	19	12922479	12934037
ENSG00000267467	19	44942237	44945496
ENSG00000162746	1	161721563	161728143
ENSG00000058335	15	78959906	79090780
ENSG00000261008	16	72236281	72665014
ENSG00000165682	12	9985642	10013424
ENSG00000165246	Y	14522573	14845654
ENSG00000182685	16	2209253	2210905
ENSG00000168679	1	110362851	110391082
ENSG00000234906	19	44946035	44949565
ENSG00000132965	13	30713478	30764426
ENSG00000196975	2	69644425	69827112
ENSG00000146072	6	47231532	47309905
ENSG00000258813	14	73057925	73059415
ENSG00000107223	9	136862119	136866308
ENSG00000267114	19	44950044	44954007
ENSG00000086827	11	113733187	113773735
ENSG00000160194	21	42879644	42913304
ENSG00000183889	16	16317444	16350590
ENSG00000138641	4	88592434	88708541
ENSG00000118508	6	146543833	146554953
ENSG00000123200	13	45954465	46052759
ENSG00000226688	10	95732976	96090250
ENSG00000141753	17	40443450	40457725
ENSG00000170561	5	2745845	2751677
ENSG00000145808	5	129460281	129738683
ENSG00000181408	17	82371765	82377458
ENSG00000179168	19	38384267	38388082
ENSG00000224063	2	187003220	187556288
ENSG00000104447	8	115408496	115809673
ENSG00000152582	5	35617844	35814611
ENSG00000159023	1	28887091	29120046
ENSG00000128694	2	189746660	189763227
ENSG00000113721	5	150113839	150155872
ENSG00000127920	7	93921735	93928610
ENSG00000144619	3	2098813	3057959
ENSG00000087586	20	56369389	56392337
ENSG00000106348	7	128392277	128410252
ENSG00000250479	22	23765834	23767972
ENSG00000158270	18	316737	500722
ENSG00000269858	19	40798996	40808434
ENSG00000110092	11	69641156	69654474
ENSG00000161558	19	48332356	48364059
ENSG00000143473	1	210676823	211134165
ENSG00000174238	17	1517718	1562792
ENSG00000276809	13	95744726	95745765
ENSG00000132792	20	37693955	37872129
ENSG00000177238	16	31214091	31231537
ENSG00000010319	3	52433035	52445103
ENSG00000066279	1	197084121	197146694
ENSG00000173349	2	127701497	127705242
ENSG00000243137	19	43192702	43207299
ENSG00000122778	7	138831381	138981389
ENSG00000223496	16	70246778	70251940
ENSG00000171303	2	26692722	26733420
ENSG00000081026	1	113390515	113685923
ENSG00000181038	17	76726830	76733936
ENSG00000102580	13	95677139	95794988
ENSG00000188596	12	96489571	96875555
ENSG00000258884	14	90820064	90828202
ENSG00000241014	1	34975699	34978706
ENSG00000090104	1	192575763	192580024
ENSG00000105989	7	117275451	117323152
ENSG00000189376	8	123219967	123241377
ENSG00000173418	20	20017310	20033655
ENSG00000261115	7	141074064	141480380
ENSG00000107736	10	71396920	71815947
ENSG00000198796	18	58481247	58629091
ENSG00000134899	13	102845831	102875995
ENSG00000198673	12	61708273	62279150
ENSG00000144867	3	133784023	133825772
ENSG00000234494	17	47897330	47941410
ENSG00000182544	12	53251251	53254406
ENSG00000183196	16	75472052	75495445
ENSG00000121964	2	143938068	144332568
ENSG00000189045	5	75611182	75681773
ENSG00000132329	2	237858893	237912106
ENSG00000254685	1	74198238	74234086
ENSG00000112378	6	138088505	138107419
ENSG00000197122	20	37344685	37406050
ENSG00000273199	21	36319792	36320670
ENSG00000136709	2	127701027	127811187
ENSG00000130748	19	47045909	47048624
ENSG00000188624	19	46120067	46124688
ENSG00000163867	1	34986165	35031945
ENSG00000177556	5	151742316	151772532
ENSG00000163638	3	64515654	64688000
ENSG00000267302	17	59964832	59996972
ENSG00000177943	9	136850943	136860799
ENSG00000108061	10	110919367	111017307
ENSG00000126870	7	158856558	158956747
ENSG00000254979	11	57387365	57424059
ENSG00000178401	12	49346888	49357546
ENSG00000204514	19	57848731	57889074
ENSG00000233975	1	27660328	27666279
ENSG00000162881	2	42762499	42764135
ENSG00000156931	3	184812143	185052614
ENSG00000272994	2	105334027	105337475
ENSG00000211644	22	22322472	22322969
ENSG00000106799	9	99104038	99154192
ENSG00000113494	5	35048756	35230487
ENSG00000273604	17	38671703	38674957
ENSG00000113384	5	32124716	32174319
ENSG00000115137	2	24943636	24972094
ENSG00000159259	21	36385392	36419015
ENSG00000170275	3	33114014	33147773
ENSG00000162630	1	193178730	193186613
ENSG00000135974	2	105337532	105349211
ENSG00000131471	17	42851184	42858130
ENSG00000155265	10	97849843	97871580
ENSG00000181450	1	227563543	227677443
ENSG00000260121	16	88718615	88720459
ENSG00000127616	19	10960932	11079426
ENSG00000134058	5	69234795	69277430
ENSG00000167182	17	47896150	47928957
ENSG00000179476	14	44897275	44907257
ENSG00000125384	14	52314305	52328598
ENSG00000118137	11	116835751	116837622
ENSG00000164300	5	80111651	80256048
ENSG00000067840	X	153802166	153830565
ENSG00000042753	19	46838136	46850846
ENSG00000189319	10	124619292	124744378
ENSG00000186652	11	57386780	57390650
ENSG00000134460	10	6010689	6062370
ENSG00000122566	7	26171151	26201529
ENSG00000203993	9	137615326	137618906
ENSG00000049656	5	1317752	1345099
ENSG00000258777	14	61680723	61695892
ENSG00000276517	2	32526504	32529507
ENSG00000273004	1	185317779	185318530
ENSG00000259687	14	75294404	75298109
ENSG00000128739	15	24823637	24978723
ENSG00000072518	11	63838928	63911020
ENSG00000260916	15	55340032	55408510
ENSG00000134371	1	193121983	193254815
ENSG00000278341	16	88708956	88710437
ENSG00000259005	14	74474007	74474864
ENSG00000161203	3	184174689	184184214
ENSG00000261094	9	122937623	122940333
ENSG00000224888	16	88731180	88741425
ENSG00000168995	19	51142299	51153526
ENSG00000259006	16	89919827	89922662
ENSG00000258561	14	66212810	66509394
ENSG00000160783	1	156212993	156240042
ENSG00000071859	X	154444141	154450654
ENSG00000165899	12	80099537	80380880
ENSG00000090054	9	92000087	92115413
ENSG00000089505	16	66566393	66579137
ENSG00000140092	14	91869411	91947987
ENSG00000183474	5	69560191	69595221
ENSG00000105486	19	48115445	48170603
ENSG00000158560	7	95772506	96110322
ENSG00000256262	12	109052349	109053984
ENSG00000177272	1	110672465	110674940
ENSG00000033867	3	27372721	27484420
ENSG00000215533	21	29193480	29288205
ENSG00000248476	21	29351634	29361894
ENSG00000273017	21	29359002	29359453
ENSG00000147130	X	71239624	71255146
ENSG00000040487	1	19312326	19329300
ENSG00000147206	X	103075810	103093143
ENSG00000221953	1	247110160	247112417
ENSG00000174680	21	29748175	29764002
ENSG00000197070	9	137605685	137615360
ENSG00000203875	6	85650491	85678932
ENSG00000233785	X	23772992	23782956
ENSG00000100711	14	103715730	103733668
ENSG00000155463	14	22766522	22773042
ENSG00000107566	10	100150094	100186033
ENSG00000150048	12	10069554	10111627
ENSG00000225331	21	44158740	44160076
ENSG00000187764	9	89360787	89498130
ENSG00000180481	12	75391089	75432688
ENSG00000183856	1	156525405	156572604
ENSG00000169504	1	24745382	24844321
ENSG00000196418	1	247121975	247172020
ENSG00000253968	5	173383941	173451591
ENSG00000112110	6	159789812	159798436
ENSG00000187123	2	149329985	149474138
ENSG00000126775	14	55366391	55411830
ENSG00000204947	7	149102784	149126324
ENSG00000119986	10	97677424	97687241
ENSG00000237604	21	44175489	44176453
ENSG00000260802	X	111511645	111522399
ENSG00000261582	20	35267885	35280043
ENSG00000128512	7	111726110	112206407
ENSG00000108344	17	39980807	39997959
ENSG00000166527	12	8509475	8522366
ENSG00000198894	14	77098126	77117287
ENSG00000043355	13	99981784	99986765
ENSG00000160957	8	144511288	144517845
ENSG00000198522	2	27628247	27651511
ENSG00000259972	16	74305127	74335346
ENSG00000183291	1	86862445	86914424
ENSG00000138767	4	77713387	77819615
ENSG00000163807	3	44737661	44761619
ENSG00000154188	8	107249482	107498055
ENSG00000166147	15	48408313	48645721
ENSG00000137500	11	83259081	83286390
ENSG00000126351	17	40058290	40093867
ENSG00000197165	16	28591943	28597050
ENSG00000261519	16	66549280	66551189
ENSG00000119414	9	125146573	125189939
ENSG00000095059	19	12675717	12681880
ENSG00000198892	1	201888680	201892587
ENSG00000156453	5	141853090	141879246
ENSG00000166341	11	6621330	6655809
ENSG00000267481	19	19788755	19790531
ENSG00000090861	16	70251983	70289707
ENSG00000102174	X	22032325	22494713
